date,value
2024-01-01,1548
2024-02-01,1570
2024-03-01,1477
2024-04-01,1456
2024-05-01,1405
2024-06-01,1459
2024-07-01,1448
2024-08-01,1492
2024-09-01,1421
2024-10-01,1435
2024-11-01,1512
2024-12-01,1467

