date,value
2024-01-01,53.4
2024-02-01,52.6
2024-03-01,51.4
2024-04-01,49.4
2024-05-01,53.8
2024-06-01,48.8
2024-07-01,51.4
2024-08-01,51.5
2024-09-01,54.9
2024-10-01,56.0
2024-11-01,52.1
2024-12-01,54.1

